case,bowAmplitude,rmsDeltaD,bestGW,knownCorrespondenceGW,trueMatchMass,affectedMatchMass,meanPathError,randomMedianMatch,maxMatchedStartTransportDifference
rotation,0.0,1.468557615628448e-14,7.34278807814224e-15,7.34278807814224e-15,0.9999999999999998,0.9999999999999999,0.0,0.14851485148514854,0.0
bend_isometric,0.0,2.349036592141662e-14,1.174518296070831e-14,1.174518296070831e-14,0.9999999999999998,0.9999999999999999,0.0,0.14851485148514854,0.0
bend_02,0.02,0.21978066951313813,0.10989033475656906,0.10989033475656906,0.9999999999999998,0.9999999999999999,0.0,0.14851485148514854,0.0
bend_05,0.05,0.5334014551455181,0.26670072757275903,0.26670072757275903,0.9999999999999998,0.9999999999999999,0.0,0.14851485148514854,0.0
bend_10,0.1,1.0900024326334743,0.5415649981724692,0.5450012163167371,0.98019801980198,0.9550561797752807,0.3691349620465789,0.09900990099009901,0.0
bend_20,0.2,2.7024691026859666,1.359453120966372,1.3512345513429833,0.9158415841584158,0.8089887640449438,1.4087786982343145,0.07920792079207921,0.0
bend_40,0.4,8.560869783324721,4.424258301718535,4.2804348916623605,0.8069306930693069,0.6067415730337079,4.728686489448062,0.10891089108910891,0.0
