matrix_index_0based,id,type,x,y,z,r,parent,mass
81,81,0,84.039,433.406,113.22,1.0,16,0.0049504950495049506
82,82,0,82.887,447.131,111.24,1.0,81,0.0049504950495049506
83,83,0,86.705,449.436,110.43,1.0,82,0.0049504950495049506
84,84,0,89.371,451.311,110.655,1.0,83,0.0049504950495049506
85,85,0,94.497,455.404,109.665,1.0,84,0.0049504950495049506
86,86,0,99.175,457.056,109.845,1.0,85,0.0049504950495049506
87,87,0,102.925,460.513,107.19,1.0,86,0.0049504950495049506
88,88,0,104.748,467.376,106.38,1.0,87,0.0049504950495049506
89,89,0,107.947,470.523,106.425,1.0,88,0.0049504950495049506
90,90,0,112.866,471.762,104.085,1.0,89,0.0049504950495049506
91,91,0,113.795,472.759,104.175,1.0,90,0.0049504950495049506
92,92,0,115.687,472.897,104.85,1.0,91,0.0049504950495049506
93,93,0,121.243,472.037,100.845,1.0,92,0.0049504950495049506
94,94,0,123.616,472.656,99.36,1.0,93,0.0049504950495049506
95,95,0,126.317,472.123,97.785,1.0,94,0.0049504950495049506
96,96,0,51.686,451.018,143.505,1.0,62,0.0049504950495049506
97,97,0,50.035,451.053,150.12,1.0,96,0.0049504950495049506
98,98,0,50.912,451.431,150.48,1.0,97,0.0049504950495049506
99,99,0,34.796,440.664,136.44,1.0,25,0.0049504950495049506
100,100,0,34.452,439.821,135.225,1.0,99,0.0049504950495049506
101,101,0,34.641,439.615,132.255,1.0,100,0.0049504950495049506
102,102,0,117.648,479.192,105.255,1.0,92,0.0049504950495049506
103,103,0,119.351,481.566,103.095,1.0,102,0.0049504950495049506
104,104,0,54.386,443.674,132.615,1.0,23,0.0049504950495049506
105,105,0,55.126,441.128,133.29,1.0,104,0.0049504950495049506
106,106,0,55.504,439.168,133.38,1.0,105,0.0049504950495049506
107,107,0,60.596,430.86,137.025,1.0,106,0.0049504950495049506
108,108,0,53.268,471.418,118.935,1.0,40,0.0049504950495049506
109,109,0,51.978,473.533,120.51,1.0,108,0.0049504950495049506
110,110,0,99.278,457.021,109.89,1.0,86,0.0049504950495049506
111,111,0,101.463,457.933,110.61,1.0,110,0.0049504950495049506
112,112,0,103.028,457.451,112.995,1.0,111,0.0049504950495049506
113,113,0,107.827,456.815,115.605,1.0,112,0.0049504950495049506
114,114,0,111.353,456.849,117.9,1.0,113,0.0049504950495049506
115,115,0,113.038,457.898,121.545,1.0,114,0.0049504950495049506
116,116,0,113.795,458.638,123.525,1.0,115,0.0049504950495049506
117,117,0,108.893,457.606,126.63,1.0,116,0.0049504950495049506
118,118,0,44.514,440.922,126.0,1.0,23,0.0049504950495049506
119,119,0,43.396,442.023,125.415,1.0,118,0.0049504950495049506
120,120,0,44.17,441.988,125.235,1.0,119,0.0049504950495049506
121,121,0,102.77,466.911,109.62,1.0,87,0.0049504950495049506
122,122,0,104.886,468.958,113.4,1.0,121,0.0049504950495049506
123,123,0,105.66,470.11,115.92,1.0,122,0.0049504950495049506
124,124,0,105.763,471.28,117.945,1.0,123,0.0049504950495049506
125,125,0,105.316,471.59,118.8,1.0,124,0.0049504950495049506
126,126,0,105.677,472.278,119.025,1.0,125,0.0049504950495049506
127,127,0,54.421,457.434,121.005,1.0,20,0.0049504950495049506
128,128,0,53.182,457.933,120.87,1.0,127,0.0049504950495049506
129,129,0,52.546,458.156,121.185,1.0,128,0.0049504950495049506
130,130,0,52.116,458.088,121.545,1.0,129,0.0049504950495049506
131,131,0,53.819,458.38,123.615,1.0,130,0.0049504950495049506
132,132,0,54.042,457.107,125.595,1.0,131,0.0049504950495049506
133,133,0,60.441,447.114,123.66,1.0,20,0.0049504950495049506
134,134,0,61.679,444.276,125.415,1.0,133,0.0049504950495049506
135,135,0,97.937,453.34,104.985,1.0,85,0.0049504950495049506
136,136,0,98.556,452.102,103.005,1.0,135,0.0049504950495049506
137,137,0,70.812,444.345,117.27,1.0,17,0.0049504950495049506
138,138,0,84.744,448.92,109.53,1.0,82,0.0049504950495049506
139,139,0,84.538,450.279,108.765,1.0,138,0.0049504950495049506
140,140,0,84.658,447.217,106.47,1.0,139,0.0049504950495049506
141,141,0,83.781,444.362,103.23,1.0,140,0.0049504950495049506
142,142,0,87.668,440.681,110.61,1.0,81,0.0049504950495049506
143,143,0,88.546,442.9,110.34,1.0,142,0.0049504950495049506
144,144,0,88.047,444.5,109.98,1.0,143,0.0049504950495049506
145,145,0,88.408,430.482,109.935,1.0,16,0.0049504950495049506
146,146,0,88.081,430.206,109.125,1.0,145,0.0049504950495049506
147,147,0,85.501,427.988,106.875,1.0,146,0.0049504950495049506
148,148,0,78.208,426.01,107.325,1.0,147,0.0049504950495049506
149,149,0,93.723,404.2,111.735,1.0,11,0.0049504950495049506
150,150,0,89.818,407.158,110.745,1.0,149,0.0049504950495049506
151,151,0,88.339,408.448,109.62,1.0,150,0.0049504950495049506
152,152,0,86.843,408.053,107.505,1.0,151,0.0049504950495049506
153,153,0,87.428,407.09,110.25,1.0,152,0.0049504950495049506
154,154,0,86.826,405.18,109.845,1.0,153,0.0049504950495049506
155,155,0,85.948,404.338,109.845,1.0,154,0.0049504950495049506
156,156,0,84.469,403.718,109.98,1.0,155,0.0049504950495049506
157,157,0,82.027,399.315,107.55,1.0,156,0.0049504950495049506
158,158,0,78.466,397.75,104.94,1.0,157,0.0049504950495049506
