matrix_index_0based,id,type,x,y,z,r,parent,mass
37,37,0,53.165,459.395,156.825,1.0,36,0.0051813471502590676
38,38,0,52.202,463.506,156.51,1.0,37,0.0051813471502590676
39,39,0,50.809,466.619,155.7,1.0,38,0.0051813471502590676
40,40,0,51.566,472.398,153.405,1.0,39,0.0051813471502590676
41,41,0,53.217,475.133,153.495,1.0,40,0.0051813471502590676
42,42,0,56.055,476.698,152.325,1.0,41,0.0051813471502590676
43,43,0,56.21,481.566,147.69,1.0,42,0.0051813471502590676
44,44,0,56.932,483.458,143.28,1.0,43,0.0051813471502590676
45,45,0,57.551,484.369,140.13,1.0,44,0.0051813471502590676
46,46,0,58.566,484.369,138.105,1.0,45,0.0051813471502590676
47,47,0,59.89,483.853,135.63,1.0,46,0.0051813471502590676
48,48,0,61.163,482.701,130.275,1.0,47,0.0051813471502590676
49,49,0,62.058,484.042,131.85,1.0,48,0.0051813471502590676
50,50,0,62.539,484.868,130.005,1.0,49,0.0051813471502590676
51,51,0,63.915,488.342,125.46,1.0,50,0.0051813471502590676
52,52,0,65.635,487.792,120.465,1.0,51,0.0051813471502590676
53,53,0,61.645,481.72,127.53,1.0,48,0.0051813471502590676
54,54,0,61.542,480.585,127.35,1.0,53,0.0051813471502590676
55,55,0,59.925,479.072,124.245,1.0,54,0.0051813471502590676
56,56,0,59.925,478.659,119.07,1.0,55,0.0051813471502590676
57,57,0,57.396,448.129,154.935,1.0,35,0.0051813471502590676
58,58,0,61.163,446.736,155.97,1.0,57,0.0051813471502590676
59,59,0,65.687,442.487,157.05,1.0,58,0.0051813471502590676
60,60,0,66.547,438.961,156.285,1.0,59,0.0051813471502590676
61,61,0,69.024,436.846,155.52,1.0,60,0.0051813471502590676
62,62,0,77.452,433.767,154.71,1.0,61,0.0051813471502590676
63,63,0,82.904,435.315,154.98,1.0,62,0.0051813471502590676
64,64,0,86.241,431.496,150.21,1.0,63,0.0051813471502590676
65,65,0,84.779,430.877,147.06,1.0,64,0.0051813471502590676
66,66,0,86.826,427.558,142.335,1.0,65,0.0051813471502590676
67,67,0,76.54,430.912,152.64,1.0,62,0.0051813471502590676
68,68,0,77.555,426.56,147.87,1.0,67,0.0051813471502590676
69,69,0,45.941,442.298,136.755,1.0,31,0.0051813471502590676
70,70,0,42.278,442.16,137.385,1.0,69,0.0051813471502590676
71,71,0,39.216,441.163,138.69,1.0,70,0.0051813471502590676
72,72,0,36.12,440.303,139.275,1.0,71,0.0051813471502590676
73,73,0,33.781,438.6,139.77,1.0,72,0.0051813471502590676
74,74,0,35.191,437.396,144.63,1.0,73,0.0051813471502590676
75,75,0,35.638,437.74,147.06,1.0,74,0.0051813471502590676
76,76,0,34.4,437.448,149.49,1.0,75,0.0051813471502590676
77,77,0,33.265,436.725,152.595,1.0,76,0.0051813471502590676
78,78,0,30.891,434.575,159.12,1.0,77,0.0051813471502590676
79,79,0,28.552,436.209,165.15,1.0,78,0.0051813471502590676
80,80,0,27.572,437.121,168.075,1.0,79,0.0051813471502590676
81,81,0,25.267,437.19,170.1,1.0,80,0.0051813471502590676
82,82,0,63.244,452.308,155.07,1.0,35,0.0051813471502590676
83,83,0,66.977,451.139,158.175,1.0,82,0.0051813471502590676
84,84,0,69.643,450.399,162.63,1.0,83,0.0051813471502590676
85,85,0,70.451,452.085,165.465,1.0,84,0.0051813471502590676
86,86,0,51.376,449.281,144.585,1.0,32,0.0051813471502590676
87,87,0,52.254,449.797,143.64,1.0,86,0.0051813471502590676
88,88,0,53.131,450.588,141.93,1.0,87,0.0051813471502590676
89,89,0,51.806,453.925,140.58,1.0,88,0.0051813471502590676
90,90,0,52.993,456.866,142.11,1.0,89,0.0051813471502590676
91,91,0,56.76,440.612,133.155,1.0,28,0.0051813471502590676
92,92,0,56.622,436.089,134.55,1.0,91,0.0051813471502590676
93,93,0,60.406,431.015,136.575,1.0,92,0.0051813471502590676
94,94,0,63.468,429.295,136.08,1.0,93,0.0051813471502590676
95,95,0,70.107,423.309,138.69,1.0,94,0.0051813471502590676
96,96,0,70.382,422.656,138.915,1.0,95,0.0051813471502590676
97,97,0,71.552,421.194,139.23,1.0,96,0.0051813471502590676
98,98,0,72.722,428.951,138.06,1.0,94,0.0051813471502590676
99,99,0,72.395,428.16,138.825,1.0,98,0.0051813471502590676
100,100,0,53.836,451.534,128.88,1.0,28,0.0051813471502590676
101,101,0,52.821,453.805,127.8,1.0,100,0.0051813471502590676
102,102,0,88.15,429.484,110.43,1.0,21,0.0051813471502590676
103,103,0,91.194,430.912,108.9,1.0,102,0.0051813471502590676
104,104,0,93.516,431.961,106.2,1.0,103,0.0051813471502590676
105,105,0,93.878,435.074,101.925,1.0,104,0.0051813471502590676
106,106,0,96.028,435.968,105.165,1.0,105,0.0051813471502590676
107,107,0,98.264,436.639,108.495,1.0,106,0.0051813471502590676
108,108,0,100.912,439.254,111.51,1.0,107,0.0051813471502590676
109,109,0,102.942,440.922,112.455,1.0,108,0.0051813471502590676
110,110,0,105.178,440.114,113.445,1.0,109,0.0051813471502590676
111,111,0,106.021,440.028,113.58,1.0,110,0.0051813471502590676
112,112,0,106.674,440.681,113.49,1.0,111,0.0051813471502590676
113,113,0,107.156,440.251,113.085,1.0,112,0.0051813471502590676
114,114,0,97.214,405.645,113.94,1.0,14,0.0051813471502590676
115,115,0,92.158,406.23,113.265,1.0,114,0.0051813471502590676
116,116,0,85.88,406.746,111.78,1.0,115,0.0051813471502590676
117,117,0,82.526,405.232,109.62,1.0,116,0.0051813471502590676
118,118,0,79.602,401.895,107.955,1.0,117,0.0051813471502590676
119,119,0,76.506,400.45,106.65,1.0,118,0.0051813471502590676
120,120,0,73.702,398.662,103.005,1.0,119,0.0051813471502590676
121,121,0,71.93,403.839,96.21,1.0,120,0.0051813471502590676
122,122,0,74.27,402.377,91.35,1.0,121,0.0051813471502590676
123,123,0,79.498,403.134,89.55,1.0,122,0.0051813471502590676
124,124,0,76.867,396.89,103.455,1.0,119,0.0051813471502590676
125,125,0,77.589,395.084,101.52,1.0,124,0.0051813471502590676
126,126,0,79.567,394.138,99.99,1.0,125,0.0051813471502590676
127,127,0,81.046,396.34,98.55,1.0,126,0.0051813471502590676
128,128,0,84.469,399.866,94.095,1.0,127,0.0051813471502590676
129,129,0,85.398,399.35,90.225,1.0,128,0.0051813471502590676
130,130,0,98.522,415.328,109.395,1.0,18,0.0051813471502590676
131,131,0,102.495,415.879,111.645,1.0,130,0.0051813471502590676
132,132,0,107.93,413.987,112.41,1.0,131,0.0051813471502590676
133,133,0,109.495,413.677,113.67,1.0,132,0.0051813471502590676
134,134,0,113.09,414.4,110.745,1.0,133,0.0051813471502590676
135,135,0,114.776,416.481,111.735,1.0,134,0.0051813471502590676
136,136,0,114.225,417.977,111.195,1.0,135,0.0051813471502590676
137,137,0,91.538,421.469,113.31,1.0,20,0.0051813471502590676
138,138,0,92.811,421.692,115.83,1.0,137,0.0051813471502590676
139,139,0,94.376,423.567,119.295,1.0,138,0.0051813471502590676
140,140,0,95.288,424.427,122.625,1.0,139,0.0051813471502590676
141,141,0,97.455,424.135,123.255,1.0,140,0.0051813471502590676
142,142,0,96.853,423.928,124.695,1.0,141,0.0051813471502590676
143,143,0,84.693,404.2,114.75,1.0,116,0.0051813471502590676
144,144,0,84.314,404.286,117.99,1.0,143,0.0051813471502590676
145,145,0,77.692,400.674,118.845,1.0,144,0.0051813471502590676
146,146,0,75.835,405.421,118.575,1.0,145,0.0051813471502590676
147,147,0,73.22,407.537,114.48,1.0,146,0.0051813471502590676
148,148,0,69.866,402.635,98.505,1.0,120,0.0051813471502590676
149,149,0,70.382,402.497,98.325,1.0,148,0.0051813471502590676
150,150,0,97.902,404.131,117.0,1.0,14,0.0051813471502590676
151,151,0,97.61,406.195,119.79,1.0,150,0.0051813471502590676
152,152,0,96.681,406.918,121.275,1.0,151,0.0051813471502590676
153,153,0,94.411,408.724,125.505,1.0,152,0.0051813471502590676
154,154,0,92.261,410.426,129.465,1.0,153,0.0051813471502590676
155,155,0,91.59,414.331,132.75,1.0,154,0.0051813471502590676
156,156,0,91.177,418.184,134.64,1.0,155,0.0051813471502590676
157,157,0,85.278,416.429,135.135,1.0,156,0.0051813471502590676
158,158,0,97.18,402.549,115.65,1.0,14,0.0051813471502590676
159,159,0,96.561,402.05,115.74,1.0,158,0.0051813471502590676
160,160,0,92.914,399.315,115.56,1.0,159,0.0051813471502590676
161,161,0,92.072,397.612,116.145,1.0,160,0.0051813471502590676
162,162,0,91.04,396.271,115.65,1.0,161,0.0051813471502590676
163,163,0,90.197,395.669,115.065,1.0,162,0.0051813471502590676
164,164,0,83.902,395.084,112.995,1.0,163,0.0051813471502590676
165,165,0,78.914,396.271,112.095,1.0,164,0.0051813471502590676
166,166,0,74.786,396.598,111.42,1.0,165,0.0051813471502590676
167,167,0,71.225,396.34,109.62,1.0,166,0.0051813471502590676
168,168,0,71.088,396.271,109.485,1.0,167,0.0051813471502590676
169,169,0,96.148,408.448,120.6,1.0,151,0.0051813471502590676
170,170,0,95.58,411.837,123.3,1.0,169,0.0051813471502590676
171,171,0,95.787,415.191,125.775,1.0,170,0.0051813471502590676
172,172,0,97.765,414.468,123.3,1.0,171,0.0051813471502590676
173,173,0,100.568,412.783,123.525,1.0,172,0.0051813471502590676
174,174,0,89.767,412.697,127.89,1.0,153,0.0051813471502590676
175,175,0,90.111,412.06,126.9,1.0,174,0.0051813471502590676
176,176,0,96.423,399.212,119.745,1.0,13,0.0051813471502590676
177,177,0,91.71,398.232,122.94,1.0,176,0.0051813471502590676
178,178,0,84.555,399.556,125.325,1.0,177,0.0051813471502590676
179,179,0,84.521,402.428,127.305,1.0,178,0.0051813471502590676
180,180,0,94.256,400.88,121.995,1.0,176,0.0051813471502590676
181,181,0,89.56,402.102,120.87,1.0,180,0.0051813471502590676
182,182,0,88.425,403.03,121.545,1.0,181,0.0051813471502590676
183,183,0,84.555,404.183,123.345,1.0,182,0.0051813471502590676
184,184,0,84.074,405.094,124.155,1.0,183,0.0051813471502590676
185,185,0,106.537,402.738,117.9,1.0,13,0.0051813471502590676
186,186,0,105.522,404.406,118.08,1.0,185,0.0051813471502590676
187,187,0,105.195,405.61,118.845,1.0,186,0.0051813471502590676
188,188,0,106.107,405.352,118.98,1.0,187,0.0051813471502590676
189,189,0,106.038,405.06,118.98,1.0,188,0.0051813471502590676
190,190,0,103.974,402.205,121.68,1.0,13,0.0051813471502590676
191,191,0,104.524,402.704,121.095,1.0,190,0.0051813471502590676
192,192,0,104.456,402.979,121.455,1.0,191,0.0051813471502590676
