matrix_index_0based,id,type,x,y,z,r,parent,mass
0,0,0,58.05,397.234,131.265,1.0,-1,0.0051813471502590676
1,1,0,59.753,392.796,129.735,1.0,0,0.0051813471502590676
2,2,0,61.645,391.85,129.555,1.0,1,0.0051813471502590676
3,3,0,63.812,390.079,126.36,1.0,2,0.0051813471502590676
4,4,0,66.942,386.432,126.81,1.0,3,0.0051813471502590676
5,5,0,68.508,384.351,127.485,1.0,4,0.0051813471502590676
6,6,0,70.348,383.044,127.125,1.0,5,0.0051813471502590676
7,7,0,74.528,384.884,123.12,1.0,6,0.0051813471502590676
8,8,0,72.206,388.307,121.725,1.0,7,0.0051813471502590676
9,9,0,74.82,391.334,119.385,1.0,8,0.0051813471502590676
10,10,0,84.039,391.197,117.36,1.0,9,0.0051813471502590676
11,11,0,91.022,395.136,117.9,1.0,10,0.0051813471502590676
12,12,0,94.841,396.288,116.955,1.0,11,0.0051813471502590676
13,13,0,98.04,398.834,117.81,1.0,12,0.0051813471502590676
14,14,0,100.276,404.166,113.76,1.0,13,0.0051813471502590676
15,15,0,102.099,406.763,111.195,1.0,14,0.0051813471502590676
16,16,0,99.192,409.773,108.45,1.0,15,0.0051813471502590676
17,17,0,96.32,413.092,107.955,1.0,16,0.0051813471502590676
18,18,0,92.605,418.39,108.99,1.0,17,0.0051813471502590676
19,19,0,89.337,422.656,109.89,1.0,18,0.0051813471502590676
20,20,0,88.632,423.653,110.25,1.0,19,0.0051813471502590676
21,21,0,85.845,426.474,111.105,1.0,20,0.0051813471502590676
22,22,0,72.618,435.9,115.2,1.0,21,0.0051813471502590676
23,23,0,71.174,437.018,116.325,1.0,22,0.0051813471502590676
24,24,0,66.753,437.895,118.89,1.0,23,0.0051813471502590676
25,25,0,63.33,440.114,121.59,1.0,24,0.0051813471502590676
26,26,0,62.728,441.094,123.21,1.0,25,0.0051813471502590676
27,27,0,60.492,441.61,125.64,1.0,26,0.0051813471502590676
28,28,0,58.618,441.851,128.025,1.0,27,0.0051813471502590676
29,29,0,55.831,441.662,136.035,1.0,28,0.0051813471502590676
30,30,0,52.942,441.988,138.87,1.0,29,0.0051813471502590676
31,31,0,51.273,445.153,141.03,1.0,30,0.0051813471502590676
32,32,0,50.62,448.06,145.755,1.0,31,0.0051813471502590676
33,33,0,52.03,450.399,149.175,1.0,32,0.0051813471502590676
34,34,0,52.924,450.485,150.12,1.0,33,0.0051813471502590676
35,35,0,55.35,451.999,152.55,1.0,34,0.0051813471502590676
36,36,0,54.421,456.935,156.375,1.0,35,0.0051813471502590676
